no_xeno_words,no_xeno_counts,xeno_words,xeno_counts
mexico,77,go back country,75
wall,69,country,68
back,60,sendthemback,37
lol,49,chinaliedpeopledied,36
go back come,49,go back come,33
one,46,illegal alien migrant,30
covid,46,come,28
work,44,foreigners,25
people,43,back,24
racist,43,blamechina,22
go,42,chinamustpay,18
like,40,america,17
new mexico,40,people,16
come,39,disgust,16
time,36,immigrants,16
right,33,back come,16
life,32,back country,16
get,32,citizens,14
say,31,makechinapay,14
love,30,illegal criminal foreigners,13
